row	stimulus	all_responses
1	a	b:138,aa:64,ab:31,c:6,ac:3,aaa:2,abca:1,cabcaba:1,aaaba:1,cccbcbcbcbcbcacaacccacaacbcb:1,bbaacc:1,abc:1
2	a,aa	aaa:135,bb:14,aab:3,ab:2,c:2,abc:2,aba:1,bbaacc:1,aaaa:1,abbb:1,aaac:1,aabb:1,baabbccc:1,cc:1
3	a,aa,aaa	aaaa:69,bbb:4,aaaaa:2,abc:1,bb:1,aabbccca:1,ac:1,aaaaaa:1,ccc:1,aaab:1,cccabbabbcabaa:1,b:1
4	a,aa,aaa,aaaa	aaaaa:69,bbbb:4,aaaaaa:2,aca:1,ab:1,aaab:1,cc:1,bbaaccacb:1,c:1,cccc:1,aaaab:1,bbbbcbbaacccbbcaca:1
5	a,aa,aaa,aaaa,aaaaa	aaaaaa:68,aaaaaaa:4,bbbbb:4,acc:1,aab:1,bbb:1,bcabcacbca:1,ccccc:1,aaaaab:1,ccbcbcbcbcaabacaaabcacbacccbcbbbc:1,ab:1
6	a,aa,aaa,aaaa,aaaaa,aaaaaa	aaaaaaa:68,aaaaaaaa:5,bbbbbb:4,bb:2,abb:1,ccc:1,bcabcacba:1,cccccc:1,cccbcbabaabaabccbcbbbcbcbcbcccacacacaabacccbc:1
7	a,aa,aaa,aaaa,aaaaa,aaaaaa,aaaaaaa	aaaaaaaa:67,aaaaaaaaa:5,bbbbbbb:3,aaaaaaaaaa:2,ccccccc:2,bac:1,aab:1,abccbaab:1,cc:1,cbccbcbaaaaacaccacacbcbc:1
8	a,aa,aaa,aaaa,aaaaa,aaaaaa,aaaaaaa,aaaaaaaa	aaaaaaaaa:67,aaaaaaaaaa:6,bbbbbbbb:3,cab:1,aaaaaaaaaaaa:1,bbbbbbbbbb:1,bcacbac:1,bc:1,aaaaaaaaaaa:1,cccccccc:1,bcbabcabbbcbcbbabbacbabcbcccbc:1
9	a,aa,aaa,aaaa,aaaaa,aaaaaa,aaaaaaa,aaaaaaaa,aaaaaaaaa	aaaaaaaaaa:66,aaaaaaaaaaa:5,bbbbbbbbb:4,aaaaaaaaaaaaa:3,cca:1,bcabcabc:1,abc:1,aaaaaaaaaaaa:1,ccccccccc:1,bccbcaabcbcbacbcb:1
10	a,aa,aaa,aaaa,aaaaa,aaaaaa,aaaaaaa,aaaaaaaa,aaaaaaaaa,aaaaaaaaaa	aaaaaaaaaaa:65,aaaaaaaaaaaa:5,bbbbbbbbbb:3,aaaaaaaaaaaaaaaa:2,bbc:1,aaaaaaaaaaaaaaa:1,aaaaaaaaaaaaa:1,bbbbbbbbbbb:1,aaaaac:1,aaaaaaaaaaaaaaaaaa:1,cccccccccc:1,bbbbcccacbcbabcbcbbbbbc:1,aaaaaaaaaaaaaa:1
11	a,aa,ab	aab:13,aba:10,ac:10,abb:10,abc:8,ba:7,aabb:6,abab:5,bb:4,bc:2,cc:2,accb:1,abba:1,aaaab:1,abbbb:1,cb:1
12	a,aa,ab,aaa	aaaa:15,bbb:14,abb:13,aab:6,abc:5,aba:4,bb:3,aabb:3,ac:3,abab:2,aaab:2,aaaab:2,ccc:2,abaaa:1,acc:1,aabbb:1,aaaaaaaaaabc:1,bbbb:1,aabbcc:1,aaabb:1,bbbbb:1
